Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Vol_total,Cluster
2067,A1,1,4.0,20.462664,-98.259986,4.0,1
2634,A1,1,1.0,20.486358,-98.289283,1.0,1
2052,A1,1,21.0,20.464404000000002,-98.254614,21.0,1
824,A1,1,6.0,20.490493,-98.250562,6.0,1
1784,A1,1,15.0,20.503645000000002,-98.271165,15.0,1
2816,A1,1,24.0,20.484966,-98.237589,24.0,1
629,A1,1,11.0,20.468736,-98.253608,11.0,1
1068,A1,1,1.0,20.473894,-98.245322,1.0,1
1983,A1,1,1.0,20.463760999999998,-98.250437,1.0,1
1989,A1,1,6.0,20.454564,-98.26045699999999,6.0,1
2451,A1,1,2.0,20.480710000000002,-98.26907800000001,2.0,1
2047,A1,1,2.0,20.457470999999998,-98.279937,2.0,1
3584,A1,1,14.0,20.47796,-98.24913000000001,14.0,1
3519,A1,2,71.0,20.471854999999998,-98.239779,142.0,1
1517,A1,1,13.0,20.475344,-98.239139,13.0,1
387,A1,1,4.0,20.449425,-98.228003,4.0,1
744,A1,1,1.0,20.482753,-98.24238299999999,1.0,1
1940,A1,1,67.0,20.470357999999997,-98.241946,67.0,1
2075,A1,1,8.0,20.451856,-98.268691,8.0,1
3063,A1,1,15.0,20.500001,-98.274869,15.0,1
3112,A1,1,3.0,20.475096,-98.232761,3.0,1
2739,A1,1,2.0,20.488479,-98.273453,2.0,1
2975,A1,1,3.0,20.500545000000002,-98.262547,3.0,1
2133,A1,1,2.0,20.448442,-98.289488,2.0,1
1924,A1,1,2.0,20.461024,-98.27025400000001,2.0,1
1912,A1,1,92.0,20.462007999999997,-98.242465,92.0,1
3045,A1,1,1.0,20.497418,-98.25316,1.0,1
3591,A1,1,24.0,20.500553,-98.27789,24.0,1
3107,A1,1,16.0,20.457367,-98.261741,16.0,1
598,A1,1,20.0,20.463428,-98.23638199999999,20.0,1
1374,A1,1,2.0,20.480065,-98.252635,2.0,1
236,A1,2,15.5,20.497806,-98.25133000000001,31.0,1
1976,A1,1,2.0,20.465987,-98.252262,2.0,1
1550,A1,1,8.0,20.467174,-98.275021,8.0,1
1334,A1,1,2.0,20.503822,-98.252262,2.0,1
1879,A1,1,2.0,20.460632999999998,-98.276106,2.0,1
1909,A1,1,8.0,20.465926,-98.269165,8.0,1
1962,A1,1,2.0,20.45116,-98.268883,2.0,1
1885,A1,1,32.0,20.468128,-98.266642,32.0,1
2685,A1,1,2.0,20.483669,-98.27424599999999,2.0,1
2572,A1,1,1.0,20.496226999999998,-98.288602,1.0,1
2306,A1,1,56.0,20.470497,-98.249063,56.0,1
2808,A1,1,2.0,20.478652,-98.235752,2.0,1
1419,A1,1,11.0,20.488551,-98.26503199999999,11.0,1
488,A1,1,40.0,20.4949,-98.249013,40.0,1
227,A1,1,27.0,20.470139,-98.241015,27.0,1
1915,A1,1,1.0,20.476409,-98.246523,1.0,1
2004,A1,1,1.0,20.461538,-98.264003,1.0,1
106,A1,2,22.0,20.480415,-98.279344,44.0,1
1954,A1,1,1.0,20.461726000000002,-98.268179,1.0,1
1366,A1,1,2.0,20.47608,-98.234967,2.0,1
3145,A1,1,2.0,20.503577,-98.283295,2.0,1
2293,A1,1,2.0,20.487817,-98.267433,2.0,1
2553,A1,1,2.0,20.498115,-98.28107,2.0,1
2669,A1,1,1.0,20.482804,-98.292183,1.0,1
2810,A1,1,33.0,20.494979999999998,-98.280472,33.0,1
2472,A1,1,6.0,20.467548,-98.235849,6.0,1
1895,A1,1,11.0,20.459,-98.2816,11.0,1
3046,A1,1,2.0,20.496823000000003,-98.268124,2.0,1
1346,A1,1,15.0,20.477492,-98.238343,15.0,1
1908,A1,1,2.0,20.46471,-98.24432900000001,2.0,1
1791,A1,1,14.0,20.502348,-98.265033,14.0,1
1320,A1,1,1.0,20.496389,-98.271909,1.0,1
1528,A1,1,2.0,20.461848,-98.266693,2.0,1
2440,A1,1,23.0,20.480079999999997,-98.259075,23.0,1
1878,A1,1,28.0,20.467869,-98.26553299999999,28.0,1
3131,A1,1,1.0,20.460739999999998,-98.246289,1.0,1
2074,A1,1,5.0,20.4634,-98.266,5.0,1
1560,A1,1,6.0,20.463295000000002,-98.25049,6.0,1
1294,A1,1,2.0,20.5026,-98.2735,2.0,1
1069,A1,1,15.0,20.490802,-98.27288,15.0,1
1655,A1,1,12.0,20.485169,-98.27754499999999,12.0,1
2123,A1,1,2.0,20.478942,-98.23429200000001,2.0,1
116,A1,2,11.0,20.465089000000003,-98.23876899999999,22.0,1
1972,A1,1,27.0,20.460132,-98.273475,27.0,1
2611,A1,1,2.0,20.488215,-98.269689,2.0,1
2016,A1,1,27.0,20.477791,-98.241275,27.0,1
2071,A1,1,51.0,20.454978,-98.27221,51.0,1
2084,A1,1,5.0,20.4587,-98.2613,5.0,1
98,A1,1,21.0,20.485109,-98.246224,21.0,1
1990,A1,1,21.0,20.45779,-98.268753,21.0,1
2764,A1,1,1.0,20.497284,-98.266506,1.0,1
450,A1,1,2.0,20.488835,-98.232759,2.0,1
1310,A1,1,2.0,20.502029999999998,-98.26016,2.0,1
1986,A1,1,2.0,20.443812,-98.284524,2.0,1
377,A1,1,12.0,20.453799,-98.26403499999999,12.0,1
1883,A1,1,10.0,20.469521,-98.275525,10.0,1
93,A1,2,17.5,20.474128,-98.233201,35.0,1
1994,A1,1,16.0,20.463587,-98.247718,16.0,1
2837,A1,1,13.0,20.502603,-98.259689,13.0,1
2064,A1,1,3.0,20.4666,-98.2835,3.0,1
1996,A1,1,2.0,20.4741,-98.2775,2.0,1
2469,A1,1,1.0,20.462449,-98.263912,1.0,1
1452,A1,1,12.0,20.50921,-98.263233,12.0,1
2820,A1,1,38.0,20.470229999999997,-98.241499,38.0,1
2169,A1,1,1.0,20.456898000000002,-98.269155,1.0,1
2005,A1,1,2.0,20.464437,-98.258263,2.0,1
2514,A1,1,1.0,20.481001000000003,-98.266164,1.0,1
953,A1,2,71.5,20.444444,-98.228452,143.0,1
221,A1,2,22.0,20.475413,-98.25624300000001,44.0,1
