Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Vol_total,Cluster,order
1972,A1,1,27.0,20.460132,-98.273475,27.0,1,0
2047,A1,1,2.0,20.457471,-98.279937,2.0,1,1
2169,A1,1,1.0,20.456898,-98.269155,1.0,1,2
1954,A1,1,1.0,20.461726,-98.268179,1.0,1,3
377,A1,1,12.0,20.453799,-98.264035,12.0,1,4
2075,A1,1,8.0,20.451856,-98.268691,8.0,1,5
3519,A1,2,71.0,20.471855,-98.239779,142.0,1,6
221,A1,2,22.0,20.475413,-98.256243,44.0,1,7
1878,A1,1,28.0,20.467869,-98.265533,28.0,1,8
1879,A1,1,2.0,20.460633,-98.276106,2.0,1,9
1909,A1,1,8.0,20.465926,-98.269165,8.0,1,10
2669,A1,1,1.0,20.482804,-98.292183,1.0,1,11
2810,A1,1,33.0,20.49498,-98.280472,33.0,1,12
1655,A1,1,12.0,20.485169,-98.277545,12.0,1,13
744,A1,1,1.0,20.482753,-98.242383,1.0,1,14
1976,A1,1,2.0,20.465987,-98.252262,2.0,1,15
1885,A1,1,32.0,20.468128,-98.266642,32.0,1,16
1791,A1,1,14.0,20.502348,-98.265033,14.0,1,17
488,A1,1,40.0,20.4949,-98.249013,40.0,1,18
1550,A1,1,8.0,20.467174,-98.275021,8.0,1,19
1419,A1,1,11.0,20.488551,-98.265032,11.0,1,20
2764,A1,1,1.0,20.497284,-98.266506,1.0,1,21
2084,A1,1,5.0,20.4587,-98.2613,5.0,1,22
387,A1,1,4.0,20.449425,-98.228003,4.0,1,23
598,A1,1,20.0,20.463428,-98.236382,20.0,1,24
2064,A1,1,3.0,20.4666,-98.2835,3.0,1,25
2820,A1,1,38.0,20.47023,-98.241499,38.0,1,26
2016,A1,1,27.0,20.477791,-98.241275,27.0,1,27
2837,A1,1,13.0,20.502603,-98.259689,13.0,1,28
1784,A1,1,15.0,20.503645,-98.271165,15.0,1,29
2067,A1,1,4.0,20.462664,-98.259986,4.0,1,30
824,A1,1,6.0,20.490493,-98.250562,6.0,1,31
2074,A1,1,5.0,20.4634,-98.266,5.0,1,32
1517,A1,1,13.0,20.475344,-98.239139,13.0,1,33
3584,A1,1,14.0,20.47796,-98.24913,14.0,1,34
953,A1,2,71.5,20.444444,-98.228452,143.0,1,35
2611,A1,1,2.0,20.488215,-98.269689,2.0,1,36
2469,A1,1,1.0,20.462449,-98.263912,1.0,1,37
1990,A1,1,21.0,20.45779,-98.268753,21.0,1,38
2005,A1,1,2.0,20.464437,-98.258263,2.0,1,39
1940,A1,1,67.0,20.470358,-98.241946,67.0,1,40
1983,A1,1,1.0,20.463761,-98.250437,1.0,1,41
2293,A1,1,2.0,20.487817,-98.267433,2.0,1,42
1895,A1,1,11.0,20.459,-98.2816,11.0,1,43
1924,A1,1,2.0,20.461024,-98.270254,2.0,1,44
106,A1,2,22.0,20.480415,-98.279344,44.0,1,45
3145,A1,1,2.0,20.503577,-98.283295,2.0,1,46
1320,A1,1,1.0,20.496389,-98.271909,1.0,1,47
2739,A1,1,2.0,20.488479,-98.273453,2.0,1,48
1996,A1,1,2.0,20.4741,-98.2775,2.0,1,49
3063,A1,1,15.0,20.500001,-98.274869,15.0,1,50
2553,A1,1,2.0,20.498115,-98.28107,2.0,1,51
2472,A1,1,6.0,20.467548,-98.235849,6.0,1,52
2440,A1,1,23.0,20.48008,-98.259075,23.0,1,53
2123,A1,1,2.0,20.478942,-98.234292,2.0,1,54
1069,A1,1,15.0,20.490802,-98.27288,15.0,1,55
1294,A1,1,2.0,20.5026,-98.2735,2.0,1,56
1528,A1,1,2.0,20.461848,-98.266693,2.0,1,57
1962,A1,1,2.0,20.45116,-98.268883,2.0,1,58
2306,A1,1,56.0,20.470497,-98.249063,56.0,1,59
1883,A1,1,10.0,20.469521,-98.275525,10.0,1,60
2514,A1,1,1.0,20.481001000000006,-98.266164,1.0,1,61
1994,A1,1,16.0,20.463587,-98.247718,16.0,1,62
116,A1,2,11.0,20.465089000000006,-98.238769,22.0,1,63
629,A1,1,11.0,20.468736,-98.253608,11.0,1,64
1452,A1,1,12.0,20.50921,-98.263233,12.0,1,65
2975,A1,1,3.0,20.500545,-98.262547,3.0,1,66
3107,A1,1,16.0,20.457367,-98.261741,16.0,1,67
2808,A1,1,2.0,20.478652,-98.235752,2.0,1,68
2004,A1,1,1.0,20.461538,-98.264003,1.0,1,69
3131,A1,1,1.0,20.46074,-98.246289,1.0,1,70
236,A1,2,15.5,20.497806,-98.25133,31.0,1,71
3591,A1,1,24.0,20.500553,-98.27789,24.0,1,72
2572,A1,1,1.0,20.496227,-98.288602,1.0,1,73
1560,A1,1,6.0,20.463295,-98.25049,6.0,1,74
450,A1,1,2.0,20.488835,-98.232759,2.0,1,75
2052,A1,1,21.0,20.464404,-98.254614,21.0,1,76
1334,A1,1,2.0,20.503822,-98.252262,2.0,1,77
2634,A1,1,1.0,20.486358,-98.289283,1.0,1,78
1374,A1,1,2.0,20.480065,-98.252635,2.0,1,79
1310,A1,1,2.0,20.50203,-98.26016,2.0,1,80
93,A1,2,17.5,20.474128,-98.233201,35.0,1,81
2133,A1,1,2.0,20.448442,-98.289488,2.0,1,82
2071,A1,1,51.0,20.454978,-98.27221,51.0,1,83
98,A1,1,21.0,20.485109,-98.246224,21.0,1,84
1346,A1,1,15.0,20.477492,-98.238343,15.0,1,85
3045,A1,1,1.0,20.497418,-98.25316,1.0,1,86
1986,A1,1,2.0,20.443812,-98.284524,2.0,1,87
2451,A1,1,2.0,20.48071,-98.269078,2.0,1,88
1068,A1,1,1.0,20.473894,-98.245322,1.0,1,89
1908,A1,1,2.0,20.46471,-98.244329,2.0,1,90
1366,A1,1,2.0,20.47608,-98.234967,2.0,1,91
3112,A1,1,3.0,20.475096,-98.232761,3.0,1,92
3046,A1,1,2.0,20.496823000000006,-98.268124,2.0,1,93
1915,A1,1,1.0,20.476409,-98.246523,1.0,1,94
2816,A1,1,24.0,20.484966,-98.237589,24.0,1,95
227,A1,1,27.0,20.470139,-98.241015,27.0,1,96
2685,A1,1,2.0,20.483669,-98.274246,2.0,1,97
1989,A1,1,6.0,20.454564,-98.260457,6.0,1,98
1912,A1,1,92.0,20.462008,-98.242465,92.0,1,99
